Entity,Code,Year,Expectancy,Expenditure,Population,GDP,Physicians,Undernourishment,Obesity
Guinea,GIN,2022,60.4316,116.0871,14055136,3792.0107,0.21,10.3,8.2886
Guinea-Bissau,GNB,2022,63.6045,186.55786,2105535,2603.2402,0.252,32.2,10.07749
Guyana,GUY,2022,69.8885,1229.4951,821638,37068.2,1.387,2.5,27.99775
Haiti,HTI,2022,63.9483,106.82867,11503603,3057.4285,0.292,50.4,10.22693
Honduras,HND,2022,72.7151,556.83435,10463880,6352.587,0.489,20.4,28.53912
Hungary,HUN,2022,76.2118,2906.8828,9684308,40610.973,3.456,2.5,36.39898
Iceland,ISL,2022,81.5877,6699.9253,380368,65380.316,4.44,2.5,22.58658
India,IND,2022,71.6984,273.14957,1425423209,8594.392,0.723,13.7,7.20651
Indonesia,IDN,2022,70.9246,390.1513,278830527,13334.266,0.681,7.2,11.50446
Iran,IRN,2022,76.7993,966.1826,89524247,16377.961,1.811,6.5,25.26413
Iraq,IRQ,2022,72.0371,465.97763,44070556,13433.397,1.022,16.1,37.36464
Ireland,IRL,2022,82.0505,8298.375,5110015,123219.08,3.362,2.5,30.84253
Israel,ISR,2022,82.8145,4008.7734,9103143,48098.188,3.686,2.5,23.39079
Italy,ITA,2022,82.052,4981.1772,59619106,52333.33,4.191,2.5,21.55315
Jamaica,JAM,2022,71.4809,924.6477,2839150,11096.638,0.46,7.3,34.1783
Japan,JPN,2022,84.0541,5387.27,124997585,44972.344,2.649,3.4,4.93537
Jordan,JOR,2022,77.088,767.44965,11256269,9266.575,2.851,17.9,35.61215
Kazakhstan,KAZ,2022,73.5028,1129.0114,20034612,33506.26,3.719,2.5,19.34311
Kenya,KEN,2022,63.5491,248.39711,54252458,5491.694,0.236,34.5,11.04457
Kiribati,KIR,2022,66.2687,302.5498,130483,3107.7761,,3.7,46.19357
Kosovo,KOS,2022,77.6233,,1717950,13022.463,,,
Kuwait,KWT,2022,78.7881,2415.1292,4589514,51379.883,2.273,2.5,45.36456
Kyrgyzstan,KGZ,2022,71.487,310.7373,6955792,6139.778,1.6,6.1,24.41363
Laos,LAO,2022,68.7152,188.93178,7559008,8183.0327,0.331,5.4,7.75802
Latvia,LVA,2022,74.8706,3139.067,1881059,37718.71,3.398,2.5,29.81393
Lebanon,LBN,2022,78.0029,653.2594,5744492,11474.751,2.68,9.6,31.06655
Lesotho,LSO,2022,56.8119,364.71848,2286112,2577.5454,0.235,,19.29229
Liberia,LBR,2022,61.9342,224.43799,5373297,1578.9984,0.178,38.4,16.20574
Libya,LBY,2022,74.4615,969.2141,7223804,11450.06,,11.4,36.15229
Liechtenstein,LIE,2022,83.4054,,39338,,,,
Lithuania,LTU,2022,74.696,3725.5947,2816923,46651.215,4.466,2.5,31.14159
Luxembourg,LUX,2022,82.2007,7836.4927,653315,132570.83,,2.5,20.21109
Madagascar,MDG,2022,63.0677,56.050102,30437261,1602.7136,0.172,39.7,3.84666
Malawi,MWI,2022,66.037,105.4087,20568731,1659.9594,0.054,19.9,6.37348
Malaysia,MYS,2022,75.4442,1280.8907,34695494,32129.223,2.29,2.5,22.40492
Maldives,MDV,2022,80.7595,2454.0342,524116,21357.81,2.235,,17.57296
Mali,MLI,2022,60.0347,89.90893,23072641,2813.811,0.191,9.6,9.95287
Malta,MLT,2022,82.2496,5759.53,528194,54085.125,4.513,2.5,34.62062
Marshall Islands,MHL,2022,66.7245,746.5047,40094,6936.865,,,47.28545
Mauritania,MRT,2022,68.2807,274.21933,4875644,6053.2617,0.261,9.3,20.84189
Mauritius,MUS,2022,73.5445,1554.4579,1276134,25085.988,1.436,5.9,19.47077
Mexico,MEX,2022,73.9731,1353.3176,128613116,21391.857,2.588,3.1,36.08603
Micronesia (country),FSM,2022,66.9606,378.22745,112122,3814.9907,0.974,,45.59584
Moldova,MDA,2022,71.5465,1095.0647,3039986,15358.016,4.145,2.5,25.64504
Monaco,MCO,2022,85.7464,8764.558,38950,,8.609,,
Mongolia,MNG,2022,71.5049,1266.8844,3386015,15310.435,4.13,2.5,23.98801
Montenegro,MNE,2022,75.9214,3106.6316,614649,24342.604,2.808,2.5,21.05212
Morocco,MAR,2022,75.1614,552.5957,37329068,8690.448,0.74,6.9,22.12767
Mozambique,MOZ,2022,63.0115,130.91353,32656242,1476.6656,0.175,24.8,8.7818
Myanmar,MMR,2022,66.5058,241.94154,53756791,5350.4766,0.757,5.3,7.54058
Namibia,NAM,2022,64.1903,929.62006,2889668,9953.098,0.553,22.2,15.2854
Nauru,NRU,2022,61.9304,2576.3142,11822,12363.6455,,,70.18286
