Entity,Code,Year,"Current health expenditure per capita, PPP (current international $)",time
Senegal,SEN,2022,167.8477,2022
Serbia,SRB,2022,2373.0935,2022
Seychelles,SYC,2022,1561.03,2022
Sierra Leone,SLE,2022,159.55705,2022
Singapore,SGP,2022,6657.9272,2022
Slovakia,SVK,2022,3168.871,2022
Slovenia,SVN,2022,4901.538,2022
Solomon Islands,SLB,2022,116.46723,2022
Somalia,SOM,2022,44.353733,2022
South Africa,ZAF,2022,1340.7423,2022
South Korea,KOR,2022,4859.746,2022
South Sudan,SSD,2022,38.510185,2022
Spain,ESP,2022,4775.6626,2022
Sri Lanka,LKA,2022,610.66864,2022
Sudan,SDN,2022,122.27267,2022
Suriname,SUR,2022,1043.1216,2022
Sweden,SWE,2022,7187.856,2022
Switzerland,CHE,2022,10667.949,2022
Syria,SYR,2022,453.58768,2022
Tajikistan,TJK,2022,364.41626,2022
Tanzania,TZA,2022,92.64774,2022
Thailand,THA,2022,1107.2104,2022
Togo,TGO,2022,149.0724,2022
Tonga,,,520.0485,2021
Trinidad and Tobago,TTO,2022,1811.0891,2022
Tunisia,TUN,2022,885.2604,2022
Turkey,TUR,2022,1386.5269,2022
Turkmenistan,TKM,2022,873.348,2022
Tuvalu,TUV,2022,1126.5308,2022
Uganda,UGA,2022,127.35548,2022
Ukraine,,,1094.8129,2021
United Arab Emirates,ARE,2022,3813.762,2022
United Kingdom,GBR,2022,6449.4727,2022
United States,USA,2022,12434.434,2022
Uruguay,URY,2022,2568.0718,2022
Uzbekistan,UZB,2022,716.38666,2022
Vanuatu,VUT,2022,137.91171,2022
Venezuela,VEN,2022,131.27098,2022
Vietnam,VNM,2022,610.7222,2022
Yemen,YEM,2022,109.28855,2022
Zambia,ZMB,2022,207.55191,2022
Zimbabwe,ZWE,2022,95.99164,2022
